LATITUDE;LONGITUDE
-25,47879371;-49,2897566
-25,47955389;-49,29304837
-25,47347881;-49,25191515
-25,4980783;-49,27599011
-25,45094079;-49,22852224
-25,51869822;-49,25560925
-25,53874467;-49,20428622
-25,42704415;-49,21612882
-25,42477901;-49,27656901
-25,43860546;-49,26721591
-25,44121222;-49,27726331
-25,4227289;-49,27027777
-25,44288104;-49,28956876
-25,43840709;-49,28338502
-25,43929286;-49,28127544
-25,43590742;-49,31617179
-25,42127627;-49,25896532
-25,44836659;-49,2769115
-25,43992566;-49,2559442
-25,42836115;-49,26526835
-25,44654389;-49,35658087
-25,42838053;-49,26500013
-25,42692985;-49,27188301
-25,38447663;-49,27631427
-25,4293915;-49,26531393
-25,4479469;-49,25753677
-25,43834656;-49,28380136
-25,43775607;-49,26689031
-25,45135768;-49,25202781
-25,38417207;-49,27750449
-25,42811969;-49,23182647
-25,43952402;-49,27337483
-25,42713297;-49,26535539
-25,45127536;-49,28637663
-25,45208333;-49,27194896
-25,39690783;-49,23776835
-25,40740568;-49,33102356
-25,38054336;-49,23636913
-25,40494364;-49,26711364
-25,42203239;-49,35506752
-25,40767302;-49,24840777
-25,4488056;-49,28730387
-25,43118682;-49,24828576
-25,43467175;-49,25381454
-25,43602094;-49,27915102
-25,46596301;-49,278622
-25,4204339;-49,21566857
