BAIRRO;QUANTIDADE;TIPO
ABRANCHES;235;PATRIMONIO
AHÚ;44;PATRIMONIO
ALTO BOQUEIRÃO;1455;PATRIMONIO
ALTO DA GLÓRIA;325;PATRIMONIO
ALTO DA RUA XV;238;PATRIMONIO
ATUBA;320;PATRIMONIO
AUGUSTA;205;PATRIMONIO
BACACHERI;473;PATRIMONIO
BAIRRO ALTO;320;PATRIMONIO
BAIRRO FICTÍCIO;1;PATRIMONIO
BAIRRO NAO INFORMADO;2;PATRIMONIO
BARREIRINHA;385;PATRIMONIO
BATEL;301;PATRIMONIO
BIGORRILHO;373;PATRIMONIO
BOA VISTA;576;PATRIMONIO
BOM RETIRO;51;PATRIMONIO
BOQUEIRÃO;2416;PATRIMONIO
BUTIATUVINHA;174;PATRIMONIO
CABRAL;282;PATRIMONIO
CACHOEIRA;109;PATRIMONIO
CAJURU;2818;PATRIMONIO
CAMPINA DO SIQUEIRA;413;PATRIMONIO
CAMPO COMPRIDO;484;PATRIMONIO
CAMPO DE SANTANA;583;PATRIMONIO
CAPÃO DA IMBUIA;394;PATRIMONIO
CAPÃO RASO;983;PATRIMONIO
CASCATINHA;14;PATRIMONIO
CAXIMBA;142;PATRIMONIO
CENTRO;6707;PATRIMONIO
CENTRO CÍVICO;469;PATRIMONIO
CIDADE INDUSTRIAL;4090;PATRIMONIO
CRISTO REI;246;PATRIMONIO
FANNY;178;PATRIMONIO
FAZENDINHA;771;PATRIMONIO
GANCHINHO;310;PATRIMONIO
GUABIROTUBA;139;PATRIMONIO
GUAÍRA;475;PATRIMONIO
HAUER;530;PATRIMONIO
HUGO LANGE;18;PATRIMONIO
INDICAÇÕES CANCELADA;1;PATRIMONIO
JARDIM BOTÂNICO;900;PATRIMONIO
JARDIM DAS AMÉRICAS;108;PATRIMONIO
JARDIM LOANDA;1;PATRIMONIO
JARDIM SOCIAL;23;PATRIMONIO
JD IPE;1;PATRIMONIO
JUVEVÊ;102;PATRIMONIO
LAMENHA PEQUENA;4;PATRIMONIO
LINDÓIA;234;PATRIMONIO
MERCÊS;292;PATRIMONIO
MONTE REY;1;PATRIMONIO
MOSSUNGUÊ;233;PATRIMONIO
NOVO MUNDO;999;PATRIMONIO
ORLEANS;164;PATRIMONIO
PAROLIN;793;PATRIMONIO
PILARZINHO;481;PATRIMONIO
PINHEIRINHO;1249;PATRIMONIO
PORTÃO;1232;PATRIMONIO
PRADO VELHO;458;PATRIMONIO
REBOUÇAS;1170;PATRIMONIO
SANTA CÂNDIDA;570;PATRIMONIO
SANTA FELICIDADE;500;PATRIMONIO
SANTA QUITÉRIA;141;PATRIMONIO
SANTO INÁCIO;332;PATRIMONIO
SEMINÁRIO;37;PATRIMONIO
SÃO BRAZ;365;PATRIMONIO
SÃO FRANCISCO;690;PATRIMONIO
SÃO JOSE;1;PATRIMONIO
SÃO JOÃO;109;PATRIMONIO
SÃO LOURENÇO;139;PATRIMONIO
SÃO MIGUEL;98;PATRIMONIO
SÍTIO CERCADO;3585;PATRIMONIO
TABOÃO;265;PATRIMONIO
TARUMÃ;142;PATRIMONIO
TATUQUARA;1848;PATRIMONIO
TINGUI;108;PATRIMONIO
UBERABA;1058;PATRIMONIO
UMBARÁ;182;PATRIMONIO
VILA IZABEL;63;PATRIMONIO
VISTA ALEGRE;85;PATRIMONIO
XAXIM;1181;PATRIMONIO
ÁGUA VERDE;957;PATRIMONIO
ABRANCHES;90;VIDA
AHÚ;15;VIDA
ALTO BOQUEIRÃO;322;VIDA
ALTO DA GLÓRIA;107;VIDA
ALTO DA RUA XV;63;VIDA
ATUBA;59;VIDA
AUGUSTA;65;VIDA
BACACHERI;219;VIDA
BAIRRO ALTO;124;VIDA
BAIRRO NAO INFORMADO;1;VIDA
BARREIRINHA;165;VIDA
BATEL;147;VIDA
BIGORRILHO;120;VIDA
BOA VISTA;214;VIDA
BOM RETIRO;9;VIDA
BOQUEIRÃO;623;VIDA
BOQUEIRÃO ;1;VIDA
BUTIATUVINHA;29;VIDA
CABRAL;191;VIDA
CACHOEIRA;27;VIDA
CAJURU;844;VIDA
CAMPINA DO SIQUEIRA;166;VIDA
CAMPO COMPRIDO;183;VIDA
CAMPO DE SANTANA;124;VIDA
CAPÃO DA IMBUIA;108;VIDA
CAPÃO RASO;521;VIDA
CASCATINHA;3;VIDA
CAXIMBA;17;VIDA
CENTRO;2587;VIDA
CENTRO CÍVICO;127;VIDA
CIC;1;VIDA
CIDADE INDUSTRIAL;966;VIDA
CRISTO REI;38;VIDA
FANNY;48;VIDA
FAZENDINHA;315;VIDA
FORMOSO;1;VIDA
GANCHINHO;77;VIDA
GUABIROTUBA;53;VIDA
GUATUPE ;1;VIDA
GUAÍRA;115;VIDA
HAUER;198;VIDA
HUGO LANGE;26;VIDA
JARDIM BOTÂNICO;299;VIDA
JARDIM DAS AMÉRICAS;32;VIDA
JARDIM LOANDA;1;VIDA
JARDIM SANTA MÔNICA;1;VIDA
JARDIM SOCIAL;10;VIDA
JD IPE;1;VIDA
JUVEVÊ;35;VIDA
LAMENHA PEQUENA;2;VIDA
LINDÓIA;47;VIDA
LOT. MARINONI;1;VIDA
MARACANÃ;1;VIDA
MERCÊS;109;VIDA
MOSSUNGUÊ;48;VIDA
NOVO MUNDO;295;VIDA
NÃO INFORMADO ;1;VIDA
ORLEANS;42;VIDA
PAROLIN;88;VIDA
PILARZINHO;128;VIDA
PINHEIRINHO;324;VIDA
PORTÃO;378;VIDA
PRADO VELHO;107;VIDA
REBOUÇAS;307;VIDA
RIVIERA;1;VIDA
SANTA CÂNDIDA;272;VIDA
SANTA FELICIDADE;207;VIDA
SANTA QUITÉRIA;64;VIDA
SANTO INÁCIO;152;VIDA
SEMINÁRIO;18;VIDA
SÃO BRAZ;60;VIDA
SÃO FRANCISCO;350;VIDA
SÃO JOÃO;38;VIDA
SÃO LOURENÇO;42;VIDA
SÃO MIGUEL;32;VIDA
SÍTIO CERCADO;903;VIDA
TABOÃO;37;VIDA
TARUMÃ;20;VIDA
TATUQUARA;310;VIDA
TINGUI;72;VIDA
UBERABA;216;VIDA
UMBARÁ;59;VIDA
VILA IZABEL;53;VIDA
VISTA ALEGRE;32;VIDA
XAXIM;236;VIDA
fanny;1;VIDA
ÁGUA VERDE;254;VIDA
